"","loc","publication_name","language","publication_date","title","keywords"
"25","https://www.tio.ch/ticino/attualita/1710330/cadro-scomparso-tratta-max-adam","Ticinonline","it","2023-11-06T08:56+01:00","Scomparso da una settimana da Cadro. Si cerca un ragazzo di 20 anni","scomparso,cadro,polizia cantonale,polizia,max,carlo,adam,carlo max adam,max adam marquadat,carlo max"
"26","https://www.tio.ch/people/people/1710328/sanremo-marco-mengoni-co-conduttore-della-prima-serata","Ticinonline","it","2023-11-06T08:54+01:00","Sanremo, Marco Mengoni co-conduttore della prima serata","marco mengoni co-conduttore,marco,sanremo,serata,co-conduttore,marco mengoni,mengoni co-conduttore,amadeus,mengoni,prima serata"
"27","https://www.tio.ch/dal-mondo/cronaca/1710280/gaza-israele-due-striscia-sud","Ticinonline","it","2023-11-06T08:48+01:00","L'Iran ai Brics: «Fermate Israele». Sottomarino Usa schierato nel Mediterraneo","israele,usa,brics,stato,mediterraneo,iran,stato americano,blinken,segretario,anthony blinken"
"28","https://www.tio.ch/ticino/attualita/1709619/i-dottor-sogni-cosi-portiamo-il-sorriso-tra-i-bimbi-in-ospedale","Ticinonline","it","2023-11-06T08:31+01:00","I Dottor Sogni: «Così portiamo il sorriso tra i bimbi in ospedale»","sogni,fondazione,bambini,quando,sorriso,dottor,dottor sogni,theodora,ospedale,fondazione theodora"
"29","https://www.tio.ch/dal-mondo/attualita/1710320/donald-trump-sta-elaborando-un-piano-per-vendicarsi","Ticinonline","it","2023-11-06T08:25+01:00","Donald Trump «sta elaborando un piano per vendicarsi»","donald,piano,donald trump,trump,washington,esercito,giustizia,caso,post,washington post"
"30","https://www.tio.ch/newsblog/ated/1710318/belle-robot-ricerca-eth-faulhaber-pesce-zurigo-motore-swiss-robotics","Ticinonline","it","2023-11-06T08:05+01:00","Un pesce robot allo Swiss Robotics Day 2023","zurigo,robot,pesce,robotics,faulhaber,swiss,swiss robotics day,motore,ricerca,pesce robot"
"31","https://www.tio.ch/rubriche/ospite/1710316/skate-park-mendrisio-sono-una-mamma-contraria","Ticinonline","it","2023-11-06T08:04+01:00","Skate park Mendrisio: «Sono una mamma contraria»","mariangela pagani,mendrisio,mariangela,mamma,skate,ligornetto,giovani,zone,svago,comunità"
"32","https://www.tio.ch/svizzera/cronaca/1710315/svaligiata-una-gioielleria-ladri-in-fuga","Ticinonline","it","2023-11-06T07:54+01:00","Svaligiata una gioielleria, ladri in fuga","fuga,gioielleria,ladri,polizia,uomini,crans-montana,contingente,malviventi,dispiegato,contingente uomini"
"33","https://www.tio.ch/rubriche/mobilita/1709663/km-record-barca-studenti-townsend","Ticinonline","it","2023-11-06T07:52+01:00","La barca elettrica da record: 183 km/h","km,record,barca,studenti,lago townsend,townsend,lago,università,princeton,fissato"
"34","https://www.tio.ch/aziende-ticinesi-informano/1710314/hildebrand-il-dr-paolo-rossi-nominato-primario","Ticinonline","it","2023-11-06T07:44+01:00","Hildebrand, il Dr. Paolo Rossi nominato primario","paolo,hildebrand,nuovo,nominato,rossi,ruolo,paolo rossi,gennaio,dr,medico"
"35","https://www.tio.ch/sport/hockey/1710149/l-ambri-con-il-morale-alle-stelle-il-lugano-a-corto-di-fiato","Ticinonline","it","2023-11-06T07:00+01:00","L'Ambrì con il morale alle stelle, il Lugano a corto di fiato","lugano,punti,ambrì,pausa,due,squadra,posto,national league,league,national"
"36","https://www.tio.ch/svizzera/cronaca/1710311/si-schianta-in-moto-morto-un-34enne","Ticinonline","it","2023-11-06T06:50+01:00","Si schianta in moto, morto un 34enne","moto,34enne,morto,zurigo,motociclista,ferite,andato,segnalazione,cartello,incidente"
"37","https://www.tio.ch/agenda/spettacoli/1709909/rifici-lac-segreto-svelato-palcoscenico-matrimonio","Ticinonline","it","2023-11-06T06:30+01:00","Il segreto per un matrimonio felice svelato sul palcoscenico del Lac","palcoscenico,matrimonio,carmelo rifici,segreto,svelato,rifici,lac,opera,feydeau,carmelo"
"38","https://www.tio.ch/ticino/attualita/1709584/ciani-droga-parco-volti-lugano","Ticinonline","it","2023-11-06T06:30+01:00","Droga al Parco Ciani: spunta l'idea della ""stanza del buco""","droga,buco,ciani,parco,stanza,valenzano rossi,valenzano,parco ciani,rossi,situazione"
"39","https://www.tio.ch/svizzera/attualita/1709525/svizzera-vittime-state-caccia-streghe-donne-uccise-monumento-perseguitate-2mila","Ticinonline","it","2023-11-06T06:30+01:00","Caccia alle streghe: oltre 2mila vittime, ma nessun monumento","svizzera,vittime,state,donne,caccia,monumento,2mila,streghe,uccise,2mila vittime"
